record_id,snapshot_date,source_capture_date,segment,display_nickname,raw_line,matched_signal,normalized_place,place_type,confidence,inference_scope,residence_claim,notes
cb_20021128_0004,2002-11-28,2002-12-17,male,Daniel_Recreio,@ Daniel_Recreio,recreio,Recreio dos Bandeirantes,neighborhood,high,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0006,2002-11-28,2002-12-17,male,Lucas_Rio,@ Lucas_Rio,rio_rj,Rio de Janeiro,city_or_state_signal,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0013,2002-11-28,2002-12-17,male,SUPERHOMEM-RJ,@ SUPERHOMEM-RJ,rio_rj,Rio de Janeiro,city_or_state_signal,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0018,2002-11-28,2002-12-17,male,Don_Ruan_Del_Rio,+ Don_Ruan_Del_Rio,rio_rj,Rio de Janeiro,city_or_state_signal,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0022,2002-11-28,2002-12-17,male,"""Raphasiqueira-JPA""","""Raphasiqueira-JPA""",jpa,Jacarepaguá,neighborhood_area,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0024,2002-11-28,2002-12-17,male,#*GOHN.BARRA#*,#*GOHN.BARRA#*,barra,Barra da Tijuca,neighborhood,high,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0027,2002-11-28,2002-12-17,male,*_SaRaDo_Do_MeIeR_*,*_SaRaDo_Do_MeIeR_*,meier,Méier,neighborhood,high,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0031,2002-11-28,2002-12-17,male,[Aviator-RJ-Barra],[Aviator-RJ-Barra],barra,Barra da Tijuca,neighborhood,high,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0031,2002-11-28,2002-12-17,male,[Aviator-RJ-Barra],[Aviator-RJ-Barra],rio_rj,Rio de Janeiro,city_or_state_signal,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
cb_20021128_0035,2002-11-28,2002-12-17,male,[ExTaSy-RJ],[ExTaSy-RJ],rio_rj,Rio de Janeiro,city_or_state_signal,medium,nickname_geographic_signal_only,false,Geographic token appears in historical nickname; this is not proof of residence.
