normalized_nickname_key,display_nickname_examples,irc_syntax_status,irc_syntax_invalid_examples,registered_in_2002_cadastros,cadastro_segments,cadastro_record_ids,operator_or_master,operator_access_levels,operator_source_records,present_in_ircontro,ircontro_event_ids,ircontro_event_names,ircontro_source_records,participation_profile,evidence_scope,privacy_scope,notes
--_hulk_--,>>>>--> HULK <--<<<<,no_examples_valid,>>>>--> HULK <--<<<<,true,male,cb_20021128_0077,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
-snie_-_kca,=====->ŠÑÎÞË® - KßÇÅ,no_examples_valid,=====->ŠÑÎÞË® - KßÇÅ,true,male,cb_20021128_0076,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
-spac-,__-SpAc-__,all_examples_valid,,true,male,cb_20021128_0048,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
12|_a_n_g_e_l_|,¹²»|« A N G E L ®»|«,no_examples_valid,¹²»|« A N G E L ®»|«,true,male,cb_20021128_0081,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[-piper-],[-Piper-],all_examples_valid,,true,female,cb_20021128_0976,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[^princesinha^],[^PrinceSinha^],all_examples_valid,,true,female,cb_20021128_0973,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[_ariel_],[_Ariel_],all_examples_valid,,true,female,cb_20021128_0974,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[aviator-rj-barra],[Aviator-RJ-Barra],all_examples_valid,,true,male,cb_20021128_0031,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[cray`],[Cray`],all_examples_valid,,true,male,cb_20021128_0032,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[david],[DAVID],all_examples_valid,,true,male,cb_20021128_0033,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[ddexterr],[DDeXTerr],all_examples_valid,,true,male,cb_20021128_0034,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[extasy-rj],[ExTaSy-RJ],all_examples_valid,,true,male,cb_20021128_0035,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[gato_moreno],[GATO_MORENO],all_examples_valid,,true,male,cb_20021128_0036,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[junior`],[Junior`],all_examples_valid,,true,male,cb_20021128_0037,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[leo-rj],[leo-rj],all_examples_valid,,true,male,cb_20021128_0038,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[marcao_dispo],[MaRcAO_DiSpO],all_examples_valid,,true,male,cb_20021128_0039,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[p9]-gato_barra[ws],[P9]-Gato_Barra[Ws],all_examples_valid,,true,male,cb_20021128_0040,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[paulinha_gsp],[Paulinha_GsP],all_examples_valid,,true,female,cb_20021128_0975,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
[ws]_jota-jota_[bs],[Ws]_JoTa-jOtA_[BS],all_examples_valid,,true,male,cb_20021128_0041,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^anjinha-rj^,^Anjinha-Rj^,all_examples_valid,,true,female,cb_20021128_0977,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^biazinha^,^BiAzInHa^,all_examples_valid,,true,female,cb_20021128_0978,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^hunter^,_^HUNTER^_,all_examples_valid,,true,male,cb_20021128_0044,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
