record_id,meeting_date,source_id,list_position,access_level,display_nickname,match_2002_11_28_snapshot,match_type,possible_2002_variant,transcription_status,privacy_classification,civil_identity_linked,sensitive_data_included,notes
cb_access_19990623_001,1999-06-23,chanserv_access_list_19990623_photo,1,3,Daiane-de-Ipanema,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,Older operator/access-list identity absent from 2002 snapshot; supports turnover analysis.
cb_access_19990623_002,1999-06-23,chanserv_access_list_19990623_photo,2,5,]uepa[,not_found,not_found_exact,,visual_transcription_uncertain,historical_public_nickname,false,false,Transcription uncertain from photo.
cb_access_19990623_003,1999-06-23,chanserv_access_list_19990623_photo,3,5,Mr_AnGeIO,found,possible_variant,Mr_Angelo,visual_transcription_needs_review,historical_public_nickname,false,false,Possible variant/case difference in 2002 snapshot.
cb_access_19990623_004,1999-06-23,chanserv_access_list_19990623_photo,4,10,Lucas-Rio,found,possible_variant,Lucas_Rio,visual_transcription_needs_review,historical_public_nickname,false,false,Access level 10 indicates master operator according to founder note.
cb_access_19990623_005,1999-06-23,chanserv_access_list_19990623_photo,5,5,Marcelinha,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_006,1999-06-23,chanserv_access_list_19990623_photo,6,5,Srik,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_007,1999-06-23,chanserv_access_list_19990623_photo,7,5,SPICE Invader,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_008,1999-06-23,chanserv_access_list_19990623_photo,8,10,barMan,found,possible_variant,BarMan,visual_transcription_needs_review,historical_public_nickname,false,false,Founder identity; access level 10 indicates master operator according to founder note.
cb_access_19990623_009,1999-06-23,chanserv_access_list_19990623_photo,9,5,BOBbom-RJ,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_010,1999-06-23,chanserv_access_list_19990623_photo,10,10,negaum,found,possible_variant,NEGAUM,visual_transcription_needs_review,historical_public_nickname,false,false,Access level 10 indicates master operator according to founder note.
cb_access_19990623_011,1999-06-23,chanserv_access_list_19990623_photo,11,10,WaterHand,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,Access level 10 indicates master operator according to founder note.
cb_access_19990623_012,1999-06-23,chanserv_access_list_19990623_photo,12,5,_isa_,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_013,1999-06-23,chanserv_access_list_19990623_photo,13,10,_pilar_,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,Access level 10 indicates master operator according to founder note. Correct historical spelling uses underscores: _pilar_.
cb_access_19990623_014,1999-06-23,chanserv_access_list_19990623_photo,14,5,meninas,not_found,possible_variant,As Meninas,visual_transcription_needs_review,historical_public_nickname,false,false,Possible variant only; not treated as confirmed match.
cb_access_19990623_015,1999-06-23,chanserv_access_list_19990623_photo,15,5,AphroditeRJ,found,exact,AphroditeRJ,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_016,1999-06-23,chanserv_access_list_19990623_photo,16,5,Natasha,found,exact,Natasha,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_017,1999-06-23,chanserv_access_list_19990623_photo,17,5,SwayzeRJ,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_018,1999-06-23,chanserv_access_list_19990623_photo,18,5,Carioc_H,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_019,1999-06-23,chanserv_access_list_19990623_photo,19,5,Lana_RJ,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_020,1999-06-23,chanserv_access_list_19990623_photo,20,1,KUAT_RJ,found,exact,KUAT_RJ,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_021,1999-06-23,chanserv_access_list_19990623_photo,21,5,Livia-Barra,not_found,possible_variant,Livinha_Barra,visual_transcription_needs_review,historical_public_nickname,false,false,Possible variant only; not treated as confirmed match.
cb_access_19990623_022,1999-06-23,chanserv_access_list_19990623_photo,22,5,RealZer,found,possible_variant,RealZerO,visual_transcription_needs_review,historical_public_nickname,false,false,Possible variant/case completion in 2002 snapshot.
cb_access_19990623_023,1999-06-23,chanserv_access_list_19990623_photo,23,5,Natasha-Absolut,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
