record_id,snapshot_date,source_id,list_position,display_nickname,page_context,privacy_classification,civil_identity_linked,sensitive_data_included,notes
cb_op_page_20020806_001,2002-08-06,canalbarra_operators_page_20020806,1,BarMan,operators_page,historical_public_nickname,false,false,Founder shown on public operators page.
cb_op_page_20020806_002,2002-08-06,canalbarra_operators_page_20020806,2,|Mad|,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_003,2002-08-06,canalbarra_operators_page_20020806,3,NEGAUM,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_004,2002-08-06,canalbarra_operators_page_20020806,4,DrNando,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_005,2002-08-06,canalbarra_operators_page_20020806,5,Mr_Angelo,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_006,2002-08-06,canalbarra_operators_page_20020806,6,Lucas-rio,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_007,2002-08-06,canalbarra_operators_page_20020806,7,SpIcy,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_008,2002-08-06,canalbarra_operators_page_20020806,8,Lisa-barra,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_009,2002-08-06,canalbarra_operators_page_20020806,9,Lena-barra,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_010,2002-08-06,canalbarra_operators_page_20020806,10,T-bone|barra,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_011,2002-08-06,canalbarra_operators_page_20020806,11,Waterhand,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_012,2002-08-06,canalbarra_operators_page_20020806,12,ClaraM,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_013,2002-08-06,canalbarra_operators_page_20020806,13,Ricow,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_014,2002-08-06,canalbarra_operators_page_20020806,14,Magho,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_015,2002-08-06,canalbarra_operators_page_20020806,15,Deus_da_Barra,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_016,2002-08-06,canalbarra_operators_page_20020806,16,Vanzan,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_017,2002-08-06,canalbarra_operators_page_20020806,17,Vinny-barra,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_018,2002-08-06,canalbarra_operators_page_20020806,18,Mitcha,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_019,2002-08-06,canalbarra_operators_page_20020806,19,Camy,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_020,2002-08-06,canalbarra_operators_page_20020806,20,Lorari,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_021,2002-08-06,canalbarra_operators_page_20020806,21,Pepe--,operators_page,historical_public_nickname,false,false,
cb_op_page_20020806_022,2002-08-06,canalbarra_operators_page_20020806,22,Tigresa_barra,operators_page,historical_public_nickname,false,false,
