record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0001,2002-11-28,male,canalbarra_cadastros_20021128_male,1,@,BarMan,@ BarMan,historical_public_nickname,false,false,1
cb_20021128_0002,2002-11-28,male,canalbarra_cadastros_20021128_male,2,@,Biano-,@ Biano-,historical_public_nickname,false,false,1
cb_20021128_0003,2002-11-28,male,canalbarra_cadastros_20021128_male,3,@,Brumarx,@ Brumarx,historical_public_nickname,false,false,1
cb_20021128_0004,2002-11-28,male,canalbarra_cadastros_20021128_male,4,@,Daniel_Recreio,@ Daniel_Recreio,historical_public_nickname,false,false,1
cb_20021128_0005,2002-11-28,male,canalbarra_cadastros_20021128_male,5,@,DrNando,@ DrNando,historical_public_nickname,false,false,1
cb_20021128_0006,2002-11-28,male,canalbarra_cadastros_20021128_male,6,@,Lucas_Rio,@ Lucas_Rio,historical_public_nickname,false,false,1
cb_20021128_0007,2002-11-28,male,canalbarra_cadastros_20021128_male,7,@,Mad,@ Mad,historical_public_nickname,false,false,1
cb_20021128_0008,2002-11-28,male,canalbarra_cadastros_20021128_male,8,@,Marssel,@ Marssel,historical_public_nickname,false,false,1
cb_20021128_0009,2002-11-28,male,canalbarra_cadastros_20021128_male,9,@,MooRa,@ MooRa,historical_public_nickname,false,false,1
cb_20021128_0010,2002-11-28,male,canalbarra_cadastros_20021128_male,10,@,Mr_Angelo,@ Mr_Angelo,historical_public_nickname,false,false,1
cb_20021128_0011,2002-11-28,male,canalbarra_cadastros_20021128_male,11,@,NEGAUM,@ NEGAUM,historical_public_nickname,false,false,1
cb_20021128_0012,2002-11-28,male,canalbarra_cadastros_20021128_male,12,@,Soneca_Farol,@ Soneca_Farol,historical_public_nickname,false,false,1
cb_20021128_0013,2002-11-28,male,canalbarra_cadastros_20021128_male,13,@,SUPERHOMEM-RJ,@ SUPERHOMEM-RJ,historical_public_nickname,false,false,1
cb_20021128_0014,2002-11-28,male,canalbarra_cadastros_20021128_male,14,@,VaNZaN,@ VaNZaN,historical_public_nickname,false,false,1
cb_20021128_0015,2002-11-28,male,canalbarra_cadastros_20021128_male,15,+,|Ryan|,+ |Ryan|,historical_public_nickname,false,false,1
cb_20021128_0016,2002-11-28,male,canalbarra_cadastros_20021128_male,16,+,Anj|nh0,+ Anj|nh0,historical_public_nickname,false,false,1
cb_20021128_0017,2002-11-28,male,canalbarra_cadastros_20021128_male,17,+,BigDigo,+ BigDigo,historical_public_nickname,false,false,1
cb_20021128_0018,2002-11-28,male,canalbarra_cadastros_20021128_male,18,+,Don_Ruan_Del_Rio,+ Don_Ruan_Del_Rio,historical_public_nickname,false,false,1
cb_20021128_0019,2002-11-28,male,canalbarra_cadastros_20021128_male,19,+,Ibson_JUNIOR,+ Ibson_JUNIOR,historical_public_nickname,false,false,1
cb_20021128_0020,2002-11-28,male,canalbarra_cadastros_20021128_male,20,+,PedroRio,+ PedroRio,historical_public_nickname,false,false,1
cb_20021128_0021,2002-11-28,male,canalbarra_cadastros_20021128_male,21,+,|Ricardinho|,+ |Ricardinho|,historical_public_nickname,false,false,1
cb_20021128_0022,2002-11-28,male,canalbarra_cadastros_20021128_male,22,,"""Raphasiqueira-JPA""","""Raphasiqueira-JPA""",historical_public_nickname,false,false,1
cb_20021128_0023,2002-11-28,male,canalbarra_cadastros_20021128_male,23,,#***Ryu**,#***Ryu**,historical_public_nickname,false,false,1
cb_20021128_0024,2002-11-28,male,canalbarra_cadastros_20021128_male,24,,#*GOHN.BARRA#*,#*GOHN.BARRA#*,historical_public_nickname,false,false,1
cb_20021128_0025,2002-11-28,male,canalbarra_cadastros_20021128_male,25,,***RYU***,***RYU***,historical_public_nickname,false,false,1
cb_20021128_0026,2002-11-28,male,canalbarra_cadastros_20021128_male,26,,**GaRoTo-QiX**,**GaRoTo-QiX**,historical_public_nickname,false,false,1
cb_20021128_0027,2002-11-28,male,canalbarra_cadastros_20021128_male,27,,*_SaRaDo_Do_MeIeR_*,*_SaRaDo_Do_MeIeR_*,historical_public_nickname,false,false,1
cb_20021128_0028,2002-11-28,male,canalbarra_cadastros_20021128_male,28,,*>ALOHA<*,*>ALOHA<*,historical_public_nickname,false,false,1
cb_20021128_0029,2002-11-28,male,canalbarra_cadastros_20021128_male,29,,*Freak*,*Freak*,historical_public_nickname,false,false,1
cb_20021128_0030,2002-11-28,male,canalbarra_cadastros_20021128_male,30,,.: Edu :.,.: Edu :.,historical_public_nickname,false,false,1
cb_20021128_0031,2002-11-28,male,canalbarra_cadastros_20021128_male,31,,[Aviator-RJ-Barra],[Aviator-RJ-Barra],historical_public_nickname,false,false,1
