source_record_id,source_title,source_date_text,wayback_capture_timestamp,wayback_capture_url,source_original_url,channel,network,role_group,role_rank,display_nickname,alternate_nickname_text,source_display_name,access_level_numeric,evidence_status,privacy_tier,notes
cb_access_200012_001,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,founder,1,BarMan,Barra,Raphael,,archived_web_capture,public_historical_access_list,"Source line: Fundador: BarMan ou Barra / Raphael."
cb_access_200012_002,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,NATHALIA_GAUCHA,,Nathália,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_003,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,NEGAUM,,Diego,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_004,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,_Pilar_,,Pilar,,archived_web_capture,public_historical_access_list,"Preserve historical nickname exactly as _Pilar_, not Pilar."
cb_access_200012_005,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,Mr_Angelo,,Angelo,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_006,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,|Mad|,,Fabrício,,archived_web_capture,public_historical_access_list,"Preserve bars in historical nickname."
cb_access_200012_007,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,ClaraM,,Clara,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_008,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,lisa-barra,,Elisa,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_009,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,lena-barra,,Helena,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_010,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,t-bone|barra,,Thomas,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_011,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,waterhand,,Andre,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_012,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,^samy^,,Samara,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_013,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,ricow,,Ricardo,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_014,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,magho,,Thiago,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_015,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,drnando,,Fernando,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_016,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,soneca-farol,,Bruno,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_017,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,vanzan,,Giovanni,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_018,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,vinny-barra,,Vinícius,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_019,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,|carolzinha|,,Carol,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_020,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,camy,,Camila,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_021,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,a_carioquinha_da_barra,,Licia,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
cb_access_200012_022,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,operator,3,tigresa_barra,,Luciana,,archived_web_capture,public_historical_access_list,"Public first name preserved as displayed in archived source."
