event_id,event_name,event_date,founder_screenshot_date,wayback_timestamp,source_url,venue_name,venue_type,hosting_context,micha_context,slang_context,item_position,caption,extracted_nicknames,source_type,evidence_status,privacy_tier,notes
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",1,"JUNIOR e NEGAUM´s SiS","JUNIOR; NEGAUM´s SiS",wayback_caption,partially_documented,nickname_or_caption_label_only,"Relationship labels are preserved as caption text, not civil identity claims."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",2,"LiLGuS, Nanda_RJ e Mr_Angelo","LiLGuS; Nanda_RJ; Mr_Angelo",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",3,"Renata e NEGAUM","Renata; NEGAUM",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",4,"Mr_Angelo e Aratanha","Mr_Angelo; Aratanha",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",5,LiLGuS,LiLGuS,wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",6,"BetaBarra e Mr_Angelo","BetaBarra; Mr_Angelo",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",7,"badguy e Sunshine","badguy; Sunshine",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",8,"Soueu e Pepe--","Soueu; Pepe--",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",9,"Pepe-- e Madonna-RJ","Pepe--; Madonna-RJ",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",10,"Mr_Angelo, Aratanha, Soueu e Pepe--","Mr_Angelo; Aratanha; Soueu; Pepe--",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",11,"Mr_Angelo, Mitcha e Aratanha","Mr_Angelo; Mitcha; Aratanha",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",12,"Madonna-Rj, Mack e Iasadora","Madonna-Rj; Mack; Iasadora",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
cb_ircontro_meli_melo_farpacao_20010102,Fotos da Festa na Meli Melo dia 02/01/2001 Farpação,2001-01-02,2001-02-20,20010221220212,http://web.archive.org/web/20010221220212/http://www.infolink.com.br/~micha/farpacao/fotos/201meli/021melix.htm,Meli Melo,boate,"Founder statement: event was promoted/divulgado in #barra; photos were hosted externally at Infolink.","Founder statement: Micha was also a webmaster and frequently published events that were promoted in #barra.","Founder statement: Farpação is period slang related to flirtation / people who 'pegam geral'; preserve as slang, not as moral judgment.",13,"Babylou, Sunshine, Joaninha e badguy","Babylou; Sunshine; Joaninha; badguy",wayback_caption,partially_documented,nickname_or_caption_label_only,"External hosting shows Canal Barra social circulation beyond the official domain."
